gene,mean_D02,mean_Sham,effect_D02_vs_Sham,log2fc_proxy_D02_vs_Sham,pvalue_D02_vs_Sham,uniprot_accession,protein_name,subcellular_location_text,keywords_text,uniprot_status,surface_accessibility,targetability_score,targetability_comment
Igfbp7,6.4960073849054885,1.453065619190476,5.042941765715012,2.1604526465548797,0.008617842804245065,Q61581,Insulin-like growth factor-binding protein 7,Secreted,Cell adhesion | Disulfide bond | Glycoprotein | Growth factor binding | Immunoglobulin domain | Phosphoprotein | Reference proteome | RNA editing | Secreted | Signal,found,secreted_or_extracellular,1.0,"useful EC/stroke context marker, usually not a direct receptor"
Ly6a,6.753810330231907,2.1834729887986026,4.570337341433305,1.6290765330438446,0.008332937326468465,P05533,Lymphocyte antigen 6A-2/6E-1,"Cell membrane; Lipid-anchor, GPI-anchor",Cell membrane | Direct protein sequencing | Disulfide bond | Glycoprotein | GPI-anchor | Lipoprotein | Membrane | Reference proteome | Signal,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Ctla2a,4.136150311670031,0.4779164653645989,3.658233846305432,3.1134555677678732,0.005249391108859434,P12399,Protein CTLA-2-alpha,Secreted,Reference proteome | Repeat | Secreted | Signal,found,secreted_or_extracellular,1.0,"useful EC/stroke context marker, usually not a direct receptor"
Sparc,4.324855387320036,0.8311546388711569,3.493700748448879,2.379461666221246,0.02155544654867274,P07214,SPARC,"Secreted, extracellular space, extracellular matrix, basement membrane",Basement membrane | Calcium | Copper | Direct protein sequencing | Disulfide bond | Extracellular matrix | Glycoprotein | Metal-binding | Reference proteome | Secreted | Signal,found,secreted_or_extracellular,1.0,"useful EC/stroke context marker, usually not a direct receptor"
Fth1,3.664282556407898,1.3078993935164689,2.3563831628914294,1.4862784761600412,0.0020233969393476455,P09528,Ferritin heavy chain,"Cytoplasm | Cytoplasmic vesicle, autophagosome | Autolysosome",3D-structure | Acetylation | Cytoplasm | Cytoplasmic vesicle | Direct protein sequencing | Iron | Iron storage | Lysosome | Metal-binding | Oxidoreductase | Reference proteome,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
Ly6c1,5.853537965629281,3.7178939690655315,2.1356439965637493,0.6548231066411171,0.12342067655749786,P0CW02,Lymphocyte antigen 6C1,"Cell membrane; Lipid-anchor, GPI-anchor",Cell membrane | Disulfide bond | Glycoprotein | GPI-anchor | Lipoprotein | Membrane | Reference proteome | Signal,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Ifitm3,2.267543646451536,0.545412468262745,1.7221311781887911,2.0557087254951543,0.004426878537528906,Q9CQW9,Interferon-induced transmembrane protein 3,"Cell membrane; Single-pass type II membrane protein | Late endosome membrane; Single-pass type II membrane protein | Early endosome membrane; Single-pass type II membrane protein | Lysosome membrane; Single-pass type II membrane protein | Cytoplasm, perinuclear region",Antiviral defense | Cell membrane | Cytoplasm | Endosome | Immunity | Innate immunity | Isopeptide bond | Lipoprotein | Lysosome | Membrane | Palmitate | Phosphoprotein | Reference proteome | Signal-anchor | Transmembrane | Transmembrane helix | Ubl conjugation,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Hsp90ab1,2.91125790962183,1.2625125049963353,1.6487454046254946,1.205344329339901,0.06869337475252067,P11499,Heat shock protein HSP 90-beta,Cytoplasm | Melanosome | Nucleus | Secreted | Cell membrane | Dynein axonemal particle,3D-structure | Acetylation | ATP-binding | Cell membrane | Chaperone | Cytoplasm | Direct protein sequencing | Glycoprotein | Membrane | Methylation | Nucleotide-binding | Nucleus | Phosphoprotein | Reference proteome | S-nitrosylation | Secreted | Stress response | Ubl conjugation,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Vim,1.8733828296350858,0.36595793996871523,1.5074248896663707,2.3558928229761467,0.0122636349356928,P20152,Vimentin,"Cytoplasm | Cytoplasm, cytoskeleton | Nucleus matrix | Cell membrane | Cell projection, axon",Acetylation | Cell membrane | Cell projection | Coiled coil | Cytoplasm | Cytoskeleton | Direct protein sequencing | Glycoprotein | Intermediate filament | Isopeptide bond | Membrane | Nucleus | Phosphoprotein | Reference proteome | S-nitrosylation | Ubl conjugation,found,surface_accessible,4.0,best class for direct peptide-shuttle targeting
Calm1,3.666962178418069,2.1887615910906173,1.4782005873274517,0.7444703014500444,0.07841248556778119,P0DP26,Calmodulin-1,"Cytoplasm, cytoskeleton, spindle | Cytoplasm, cytoskeleton, spindle pole | Cytoplasm, cytoskeleton, microtubule organizing center, centrosome | Cell projection, cilium, flagellum",3D-structure | Acetylation | Calcium | Cell projection | Cilium | Cytoplasm | Cytoskeleton | Direct protein sequencing | Flagellum | Isopeptide bond | Metal-binding | Methylation | Phosphoprotein | Reference proteome | Repeat | Ubl conjugation,found,intracellular_or_organelle,-1.0,reject for extracellular peptide targeting
