gene,mean_D14,mean_Sham,effect_D14_vs_Sham,log2fc_proxy_D14_vs_Sham,pvalue_D14_vs_Sham
Bsg,8.237078400797028,5.933133506390029,2.3039448944069987,0.47333840594537785,0.31965123736902595
Malat1,4.893720056691595,3.006138698221834,1.8875813584697605,0.7030198155401388,0.2171316380136106
Tmsb4x,3.8050560897302055,2.2249285095380507,1.5801275801921548,0.7741584703973393,0.15130332364228458
Hbb-bs,1.440308618521941,0.17678184987416498,1.263526768647776,3.0263287489703177,0.13095191216634902
Itm2a,2.889887053894542,1.6515060163950845,1.2383810374994575,0.8072305089770295,0.23550168426103701
Pltp,2.359224622176323,1.1309602026595493,1.2282644195167738,1.0607639569834975,0.1419960443886361
B2m,2.226213659643908,1.0358825450126317,1.1903311146312763,1.1037308862163333,0.0900171988335284
Cldn5,2.905111544728106,1.8130871521462397,1.0920243925818662,0.6801449845888267,0.2799940687204609
Actb,2.770267238790864,1.761816840527618,1.008450398263246,0.6529609083954916,0.18523378339299257
Hsp90ab1,2.101411340305988,1.2625125049963353,0.8388988353096527,0.7350604558875559,0.17646194638844825
Jun,1.4896635836217413,0.6714161233883594,0.8182474602333819,1.149706290468086,0.07828321428544292
Sparcl1,1.9359041139140494,1.1279948968637152,0.8079092170503341,0.7792464224868307,0.08415844361910822
Slco1a4,1.9970280659837791,1.372542581860359,0.6244854841234202,0.5410033714906244,0.21705022858344417
H2-D1,1.2926301812193084,0.6746471023711215,0.6179830788481869,0.9381036070410451,0.05811640334333884
Ifitm3,1.1332119534848162,0.545412468262745,0.5877994852220711,1.0549967667753841,0.07052958418029123
Sparc,1.4021830399181419,0.8311546388711569,0.5710284010469849,0.7544851581656805,0.20729296973014374
Hba-a1,0.6432654968988034,0.0758528257953865,0.5674126711034169,3.084122699294361,0.13081581668116055
Ly6e,1.9029426562153755,1.3522093418690442,0.5507333143463313,0.4929132596344773,0.38999231082518
Fth1,1.843738670891095,1.3078993935164689,0.5358392773746261,0.49538229412526513,0.2499272492831822
Nfkbia,1.2897176808743678,0.7798348241358343,0.5098828567385335,0.7258140769950637,0.16303130990579243
Hspa1a,0.6927442619382003,0.21347737767166977,0.4792668842665305,1.698234985640394,0.10215433457334872
Fos,0.8362710547874264,0.38604871857348844,0.4502223362139379,1.115185692803858,0.12887657165861846
Rps14,1.5549535605324074,1.108772060027528,0.4461815005048795,0.4879083122896122,0.20750913717122313
Hba-a2,0.48967870622577914,0.05735213513178051,0.43232657109399864,3.0938941512513995,0.1474302753155925
Tsc22d1,1.2963707207721058,0.8678240479934359,0.42854667277866987,0.5790033226599031,0.21290118013627957
Egfl7,1.0888474027487316,0.6734146151834852,0.4154327875652464,0.6932340258026052,0.1647715837144295
Ly6a,2.595743498447721,2.1834729887986026,0.4122705096491184,0.2495230397659708,0.6024456809581352
Ptn,1.1605488261576176,0.753594843256642,0.4069539829009755,0.6229455512220509,0.21938010125701551
Itm2b,1.2285106997358093,0.8232826731524608,0.40522802658334844,0.5774500764200523,0.24144804605494322
Spock2,1.7519312727544492,1.353702965145529,0.39822830760892014,0.3720347259190331,0.35045193268874303
H2-K1,0.7633196204733497,0.38328639674410175,0.3800332237292479,0.9938626048444873,0.048220867719191485
Hspb1,0.8672637055596025,0.4932560267460249,0.3740076788135776,0.8141327952583097,0.3021666819336119
Klf2,1.1347355108366293,0.7635021282349032,0.3712333826017261,0.5716513651862548,0.2972685749228613
Cst3,0.9321051572856597,0.5619850760980748,0.3701200811875849,0.7299598860041318,0.24344498411409965
Gnas,1.0831720580779476,0.7170161777611184,0.3661558803168292,0.5951841726445537,0.3165413255180158
Calm1,2.532381309237858,2.1887615910906173,0.3436197181472407,0.21037974436403403,0.43448032499971956
Hbb-bt,0.3500857228672841,0.02338020963936976,0.32670551322791436,3.9042908726965897,0.11816430829149457
Car4,0.7655979432301206,0.43901500946882827,0.3265829337612924,0.8023152873882328,0.15773485420971914
Dusp1,0.5427485008373456,0.23227344178519138,0.3104750590521542,1.2244560774319593,0.1819538470797273
Rplp1,1.068286761265654,0.7591920397731838,0.3090947214924701,0.4927616425260673,0.19058981589345897
Slco1c1,0.9654870926504179,0.664649698106263,0.3008373945441549,0.538662123690501,0.30589592409269173
Flt1,2.360281432141401,2.061094593004101,0.2991868391372998,0.19554808506267793,0.5587481838018944
Junb,0.4960315602389894,0.19938752856795908,0.2966440316710304,1.3148524146831837,0.12943924425005449
Esam,0.7089164276366533,0.41915841229990164,0.28975801533675166,0.7581185711146439,0.1643597815757208
Zfp36,0.4198322422659274,0.13651531362283928,0.2833169286430881,1.620743040604331,0.150367615362904
Arl4a,0.6771903170887692,0.4015414461529699,0.2756488709357993,0.7540109753263646,0.12273375874449874
Ablim1,0.8164973343536088,0.5434295773716228,0.27306775698198604,0.5873541983109026,0.18576398270978578
Rps8,0.727561053234377,0.45946724431958286,0.2680938089147942,0.6631051451120042,0.3221531509567194
Hspa8,0.7044407438058176,0.4396801334991722,0.2647606103066454,0.6800227743735235,0.24461248532585556
Apod,0.37663409530519876,0.11339593775569808,0.2632381575495007,1.7317857569164803,0.023249594078702335
Hnrnpa2b1,0.688883942938433,0.43038408606137973,0.2584998568770533,0.6786349594686917,0.23702223250316184
Rpl13,0.8974715931006789,0.6410469847868958,0.2564246083137831,0.4854355308902721,0.2037168669853281
