gene,mean_expression,treatment,source_file,n_ec_cells
Cldn5,4.046015322346654,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Pecam1,0.6683994139205385,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Cdh5,0.36300324824870717,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Kdr,0.25075436038953225,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Flt1,3.5385279400812117,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Tek,0.3273220641382826,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Slc2a1,1.3999746074177304,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Mfsd2a,0.21698865897510264,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Abcb1a,1.265739218626364,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Abcg2,0.5922966189417302,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Tfrc,0.24267379833881092,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Slc7a5,0.2379169705513725,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Vwf,0.10888638508623642,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Cav1,0.37081655229996213,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Plvap,0.06942096737916437,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Ptprc,4.351254823021632e-18,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Aif1,3.289344945748536e-14,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Pdgfrb,0.0,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Rgs5,0.06624366307065985,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Gfap,0.0,Sham,GSM7060815_Brain_GR180716_metadata.csv.gz,546
Cldn5,1.6327888580117593,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Pecam1,0.3440514839880006,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Cdh5,0.10794741258540473,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Kdr,0.16402273722635466,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Flt1,1.884346715918159,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Tek,0.20409105277095504,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Slc2a1,0.6163085837492439,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Mfsd2a,0.08372098839956636,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Abcb1a,1.1733778197935503,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Abcg2,0.4758116417750843,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Tfrc,0.17004658367552425,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Slc7a5,0.0511662387374513,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Vwf,0.028840463685565185,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Cav1,0.09651901988202262,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Plvap,0.024034984772062264,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Ptprc,8.167150000664285e-18,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Aif1,3.390836294916361e-11,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Pdgfrb,0.0,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Rgs5,0.2324300079989588,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Gfap,0.0,Sham,GSM7060816_Brain_GR181128_metadata.csv.gz,617
Cldn5,1.3143455005556304,Sham,GSM7060817_Brain_GR181212_metadata.csv.gz,321
Pecam1,0.2377475365087954,Sham,GSM7060817_Brain_GR181212_metadata.csv.gz,321
Cdh5,0.08038953033830266,Sham,GSM7060817_Brain_GR181212_metadata.csv.gz,321
Kdr,0.22300137065842246,Sham,GSM7060817_Brain_GR181212_metadata.csv.gz,321
Flt1,1.9696949039661422,Sham,GSM7060817_Brain_GR181212_metadata.csv.gz,321
Tek,0.19813399077609672,Sham,GSM7060817_Brain_GR181212_metadata.csv.gz,321
Slc2a1,0.39373609142783517,Sham,GSM7060817_Brain_GR181212_metadata.csv.gz,321
Mfsd2a,0.0901430845902035,Sham,GSM7060817_Brain_GR181212_metadata.csv.gz,321
Abcb1a,1.1670766172210578,Sham,GSM7060817_Brain_GR181212_metadata.csv.gz,321
Abcg2,0.3552056849843626,Sham,GSM7060817_Brain_GR181212_metadata.csv.gz,321
