sample_id,source_file,treatment,age,sex,n_ec_cells
GSM7060815_Brain_GR180716,GSM7060815_Brain_GR180716_metadata.csv.gz,Sham,W8,male,546
GSM7060816_Brain_GR181128,GSM7060816_Brain_GR181128_metadata.csv.gz,Sham,W8,male,617
GSM7060817_Brain_GR181212,GSM7060817_Brain_GR181212_metadata.csv.gz,Sham,W10,male,321
GSM7060818_Brain_GR190110,GSM7060818_Brain_GR190110_metadata.csv.gz,Sham,W8,male,295
GSM7060819_Brain_GR180426,GSM7060819_Brain_GR180426_metadata.csv.gz,D02,W8,male,360
GSM7060820_Brain_GR180614,GSM7060820_Brain_GR180614_metadata.csv.gz,D02,W8,male,458
GSM7060821_Brain_GR180919,GSM7060821_Brain_GR180919_metadata.csv.gz,D02,W8,male,502
GSM7060822_Brain_GR181024,GSM7060822_Brain_GR181024_metadata.csv.gz,D02,W8,male,1171
GSM7060823_Brain_GR180125,GSM7060823_Brain_GR180125_metadata.csv.gz,D14,W10,male,674
GSM7060824_Brain_GR180613,GSM7060824_Brain_GR180613_metadata.csv.gz,D14,W8,male,319
GSM7060825_Brain_GR180905,GSM7060825_Brain_GR180905_metadata.csv.gz,D14,W8,male,300
GSM7060826_Brain_GR181114,GSM7060826_Brain_GR181114_metadata.csv.gz,D14,W8,male,317
GSM7060827_Brain_aged_GR210708,GSM7060827_Brain_aged_GR210708_metadata.csv.gz,Sham,M20,male,585
GSM7060828_Brain_aged_GR200728,GSM7060828_Brain_aged_GR200728_metadata.csv.gz,Sham,M18,female,238
GSM7060829_Brain_aged_GR200723,GSM7060829_Brain_aged_GR200723_metadata.csv.gz,D02,M17,male,325
GSM7060830_Brain_aged_GR200716,GSM7060830_Brain_aged_GR200716_metadata.csv.gz,D02,M18,female,219
GSM7060831_Brain_aged_GR210225,GSM7060831_Brain_aged_GR210225_metadata.csv.gz,D02,M18,female,204
GSM7060832_Brain_aged_GR200812,GSM7060832_Brain_aged_GR200812_metadata.csv.gz,D14,M18,female,176
